Number One,Number Two,Their GCD,Time Spent (Milliseconds)
517275,80794,1,0.3281
743306,176197,1,0.7045
80713,985019,1,0.3176
57133,190169,1,0.2294
384700,442077,1,1.5255
69608,909916,28,0.2751
672412,587669,1,2.3299
12493,168187,1,0.0495
612629,3937,1,0.0158
454283,540533,1,1.8186
317061,720327,3,1.3252
828144,565641,9,2.2536
540077,424904,1,1.9906
845023,209326,83,1.104
865546,829263,1,3.8549
881938,382329,1,1.5161
553214,46085,1,0.1818
949041,442506,3,1.7595
536112,474670,2,1.891
467531,347639,1,1.4195
241647,844038,3,1.0188
324330,267824,38,1.08
670610,759139,1,2.7303
937569,834709,1,3.3745
906855,596933,1,2.3666
984439,90372,1,0.3559
335113,7256,1,0.0287
222452,759701,1,0.8758
824158,752931,1,2.971
267541,298938,1,1.2079
898546,647410,2,2.8866
632780,439999,1,1.7932
896428,932685,13,3.6298
8221,931368,1,0.0329
296065,250859,7,0.9877
83726,87692,2,0.3345
786468,907346,2,3.0994
988383,279941,1,1.1081
537173,119792,1,0.4716
80340,126396,12,0.3179
224576,600357,1,0.8907
641220,352287,3,1.6466
262710,97262,2,0.6418
103403,676225,1,0.4557
171232,804980,4,0.6746
92864,111034,2,0.3842
6290,325489,37,0.0255
13388,84207,1,0.0529
451984,686315,1,1.7851
138083,856383,11,0.5434
414865,956829,1,1.6385
897879,458838,3,1.8113
210647,383484,1,0.829
704995,200080,205,0.7925
204353,312276,1,0.8041
701692,377703,1,1.492
958907,348322,1,1.3758
161748,990364,4,0.6369
857135,723912,1,2.9629
687723,577990,23,2.2851
237324,987491,1,0.9388
244686,623697,3,0.9632
112488,178402,2,0.4512
831234,697687,1,2.7493
825470,455631,1,1.7992
755129,551872,1,2.1761
151734,994868,2,0.6042
66092,118168,4,0.2614
130443,599475,3,0.5135
441891,740536,1,2.0272
380983,112932,1,0.6202
611705,356517,1,1.9372
806125,389814,1,2.1138
351662,758305,1,1.9055
729066,502432,2,2.7195
255293,343846,1,1.3862
137329,883463,1,0.7418
948790,978716,2,4.6407
929001,406314,3,1.6073
117417,904012,1,0.4703
143502,635721,3,0.5903
518215,957388,1,2.0479
26607,28806,3,0.1052
352729,646404,1,1.3957
850315,285314,1,1.1227
886172,854938,14,3.3747
693469,123664,1,0.4869
895687,363243,1,1.4349
49826,148708,14,0.1965
264362,142440,2,0.5614
209027,62264,1,0.2778
568881,889996,1,3.114
980411,849765,1,4.6114
908905,282438,17,1.5259
980402,348867,1,1.8924
534224,329068,4,1.7863
920810,273376,2,1.4976
817370,481128,2,2.3384
308119,689339,7,1.224
390829,364953,1,1.4358
546681,504469,1,2.0295
412882,460659,1,1.6279
335604,838959,3,1.3284
410312,798983,17,1.6287
367196,7770,2,0.0314
862811,462277,1,1.8275
655905,306504,3,1.2118
17999,120048,41,0.0786
297252,460486,2,1.1709
476488,489603,1,2.1734
478209,590166,3,1.8929
853673,512253,1,2.0208
978019,366711,1,1.8449
724310,391871,1,1.8147
966563,885795,1,3.4983
885684,739751,1,2.9502
246722,843912,2,1.1664
245256,708538,2,0.9661
766382,419328,2,1.6603
895674,24185,1,0.0956
617206,7980,2,0.0317
202912,849869,1,0.8039
416463,645378,3,1.6453
752968,442866,2,1.7631
518684,178959,1,0.7244
837486,734357,13,2.8991
213632,841474,2,0.8455
836166,738777,3,2.999
714554,82958,2,0.4166
509931,443442,3,1.9175
562353,609796,11,2.2185
345704,721775,1,1.3672
174154,856341,1,0.6855
483638,135935,1,0.5351
731235,297608,1,1.1776
427365,560483,1,1.6909
514811,778920,1,2.3426
259762,521648,2,1.0322
295488,862378,2,1.1656
492455,312941,1,1.3172
796218,603483,3,2.5161
449972,210497,1,0.8326
927119,948789,1,3.6749
866742,272549,1,1.0909
999566,190983,1,0.7916
487823,292028,1,1.2598
805023,919333,23,3.2049
212292,952986,6,0.8464
531121,698431,1,2.2446
19872,573324,12,0.0804
183315,256455,15,0.7356
663824,870995,1,2.6171
142444,173620,4,0.5608
488014,577145,1,1.9246
906831,24115,1,0.0954
792720,445523,1,1.7595
907079,65679,1,0.2587
956626,356004,22,1.4262
571080,872355,15,2.2568
923820,869049,3,3.4914
880771,97690,1,0.3847
360497,536593,1,1.4291
254859,289426,1,1.0082
613113,161660,1,0.6361
157491,446875,1,0.62
600182,741771,1,2.3668
924361,310479,1,1.2265
569988,247334,2,0.9792
819545,905211,1,3.2389
267671,215732,1,0.8585
392891,493858,1,1.5984
382203,683654,1,1.5324
50734,81023,1,0.1999
54956,188705,11,0.226
882418,683407,1,2.6936
503108,651140,4,1.985
138201,478252,1,0.5441
197004,958039,1,0.7796
308793,401182,1,1.215
515240,585684,44,2.0678
319611,744170,1,1.2908
582255,904381,19,2.2996
424010,889958,2,1.7376
63646,135209,1,0.2511
320650,164067,1,0.6572
