Number One,Number Two,Their GCD,Time Spent (Milliseconds)
612371,389175,1,2.19922
127544,508746,2,0.785249
338598,216016,2,1.07481
212817,681335,1,1.07961
663300,832028,4,4.1789
390417,449340,3,2.23303
994018,380445,1,2.28924
920618,822946,2,7.02054
847340,838194,2,6.16477
199662,632921,1,1.12461
758308,609983,1,3.54038
919021,18405,1,0.103719
443692,185004,4,1.0625
191762,943900,2,1.24564
73139,859507,11,0.441084
531067,379216,1,2.17622
754838,685125,7,3.93045
749726,760720,2,4.29372
378934,281854,2,1.61991
827037,448854,3,3.98876
802991,778607,1,4.49236
255290,824029,1,1.49879
393202,959330,2,2.44577
899849,822316,1,5.14448
2503,353288,1,0.021004
48331,559397,1,0.290955
503382,675556,2,2.92036
139556,831666,2,0.833759
916354,971108,2,5.48044
806622,147416,2,0.880868
452308,841918,2,2.57119
530981,301362,1,1.81805
839168,357527,1,2.06349
551668,791614,2,3.1639
310093,81151,7,0.520099
155588,872496,4,0.931378
518460,79684,4,0.469189
895180,130824,4,0.765746
369677,192682,7,1.13392
375587,218428,1,1.26594
821366,303472,26,1.73233
827382,984008,2,5.11457
876078,444680,2,3.1673
127373,986116,1,0.813054
393319,613752,1,2.57639
668577,838850,1,4.47165
300609,798625,1,1.95327
491217,361703,1,3.46586
809738,875040,2,5.59337
505475,462344,1,3.55988
232558,484883,1,1.5548
202607,711507,1,1.31635
950155,630388,1,4.08308
955665,213808,1,1.39517
348314,55576,2,0.354767
162829,339833,1,1.09901
203150,988418,2,1.34276
617775,382289,1,2.55409
176219,844149,1,1.37056
769022,172199,1,1.12101
594112,243623,1,1.5808
486006,710638,2,3.24462
259336,19004,4,0.122523
818033,837629,1,5.60487
462127,384458,1,2.49377
146499,43512,3,0.277953
951657,938419,1,6.13247
670838,124944,2,0.797852
480212,63206,2,0.426881
431884,626464,4,2.79223
288971,515352,1,1.90456
200607,830604,3,1.31305
33067,787472,1,0.21274
892999,717697,1,10.2903
437058,479157,3,5.04906
729048,193406,2,2.17911
554254,861470,2,9.50301
903254,807484,2,28.2827
201974,107422,2,1.20633
711862,334891,1,14.1117
749821,521212,1,16.132
820219,572428,1,16.7661
410533,193282,1,2.23913
364854,10126,2,0.113522
380143,974121,1,6.8177
51275,35211,1,1.50069
876884,991892,4,6.88701
347184,392407,1,2.30794
710744,469717,1,4.37203
4936,607604,4,0.057011
815132,690797,1,8.69225
771471,816523,1,9.06443
796695,200965,5,2.04629
167136,245633,1,1.12591
415876,925283,1,2.77223
727781,433106,1,2.87455
352555,937832,7,2.30464
87291,481279,1,0.582411
11894,866626,2,0.076315
995567,736779,1,5.07347
373105,283096,1,1.86776
27767,721711,1,0.177434
353624,743331,1,2.38795
78432,242174,38,0.473491
941281,745234,1,4.99765
98542,606131,1,0.657525
115304,514291,1,0.784049
614293,657108,1,5.98734
631798,701251,1,6.99083
188536,570379,1,2.16701
209718,301582,2,2.21762
954665,932381,1,5.67058
462711,693671,1,2.6063
464178,162051,3,1.13592
483053,367252,1,2.39096
663280,984764,4,4.32962
193758,503676,6,1.43297
953218,569802,2,3.83133
218749,605985,1,1.42017
960038,317597,1,2.06439
476024,588040,8,3.09269
167521,932055,1,1.14982
120942,368530,2,0.772247
850761,816945,3,5.67508
709008,955645,1,4.60698
21749,40495,91,0.138727
381433,169944,1,1.13832
664635,857174,1,4.84262
109841,343093,1,0.920675
712981,580351,1,4.82302
291504,387725,1,2.81244
161132,739137,1,1.5803
744642,497143,1,4.87363
897549,624249,3,5.71569
810444,477408,12,4.39414
53125,313428,1,0.463089
637036,294709,1,2.6399
554269,635939,1,4.94624
276616,866638,2,2.45927
813029,6894,1,0.060612
23905,881980,5,0.20854
937878,635319,3,6.08396
588985,861843,1,5.28741
825364,117329,1,1.02099
736255,875072,1,6.58045
453232,899905,1,4.07108
633660,646140,60,6.10086
290165,520698,1,2.6124
425937,324671,1,2.89515
703047,164927,1,1.51819
196023,954350,1,1.73873
59896,245415,1,0.544304
238699,301609,1,2.15421
220184,122492,4,1.067
923478,644542,2,4.68779
333356,162180,4,1.0688
21833,621537,7,0.139527
219774,282225,3,1.40357
922572,113884,4,0.755844
15743,971248,1,0.101319
950135,794098,1,5.16338
548791,935327,1,3.656
278491,789626,1,1.91356
147921,97352,1,0.490693
250289,668937,1,1.51599
117518,413368,2,0.726538
865816,893365,1,5.22239
535879,390980,1,2.36765
717721,335479,1,-1.64046
396254,718462,2,2.0793
34795,463238,1,0.191636
647139,563175,3,2.92026
438809,333168,1,1.72533
352472,673473,1,1.79434
649800,94085,5,0.476991
294803,400423,1,1.52659
639864,127392,24,0.642122
440164,693315,1,2.36565
743519,885515,1,3.80543
600188,507429,1,2.57539
503510,166771,1,0.882568
279793,340382,1,1.42117
639473,447765,1,2.44186
78664,622573,1,0.715836
355358,526097,1,3.30953
733183,251090,1,2.1052
353514,298775,19,1.5798
975611,625912,7,3.18861
589937,216364,1,1.10751
76457,967993,1,0.396576
346121,429485,1,1.77404
353022,362852,2,1.88726
28771,498295,1,0.145128
224773,434835,1,1.14622
925286,102067,1,0.534501
740795,793358,1,3.88884
638875,199911,1,1.00779
310906,20216,2,0.102019
273355,681107,1,1.39517
485284,732138,2,2.48837
479616,394348,4,2.14261
378036,912877,1,2.18862
902531,72940,7,0.436884
273259,662132,1,1.68662
430052,973534,2,2.66361
682248,401178,6,2.6214
924884,177733,1,1.13472
846253,214363,1,1.53679
109326,241148,38,0.698933
551888,894954,2,3.55058
862580,939579,1,5.82691
965601,488615,1,3.34464
604166,407104,2,2.68671
260503,25777,1,0.164831
685273,146301,1,0.961084
324302,31383,11,0.200638
425879,147324,1,0.940079
776923,552908,1,3.6691
741766,846457,1,4.85422
956490,597856,2,4.08908
605273,38228,1,0.272551
651895,426223,1,2.77013
122532,315951,3,0.782749
556801,967278,1,4.32472
397052,522548,4,3.22952
681356,33667,1,0.269351
292054,299245,1,2.39816
744450,76626,6,0.613317
61776,887007,33,0.5237
670098,329856,6,2.80633
993391,363650,7,3.33223
151252,589517,1,1.38106
111765,537227,1,1.11411
144685,643748,1,1.36916
121392,52358,2,0.458187
308172,400374,6,2.73722
769994,548629,1,5.42763
