Number One,Number Two,Their GCD,Time Spent (Milliseconds)
824158,752931,1,2.9616
267541,298938,1,1.1776
898546,647410,2,2.5561
632780,439999,1,1.7312
896428,932685,13,3.5279
8221,931368,1,0.0324
296065,250859,7,0.9846
83726,87692,2,0.3289
786468,907346,2,3.1007
988383,279941,1,1.1048
537173,119792,1,0.4703
80340,126396,12,0.3163
224576,600357,1,1.0297
641220,352287,3,1.3921
262710,97262,2,0.3944
103403,676225,1,0.406
171232,804980,4,0.672
92864,111034,2,0.3647
6290,325489,37,0.025
13388,84207,1,0.0527
451984,686315,1,1.7798
138083,856383,11,0.547
414865,956829,1,1.6278
897879,458838,3,1.8043
210647,383484,1,0.8306
704995,200080,205,0.7956
204353,312276,1,0.8206
701692,377703,1,1.4823
958907,348322,1,1.3774
161748,990364,4,0.6349
857135,723912,1,2.9103
687723,577990,23,2.2793
237324,987491,1,0.9312
244686,623697,3,0.9655
112488,178402,2,0.4424
831234,697687,1,2.7465
825470,455631,1,1.8156
755129,551872,1,2.2174
151734,994868,2,0.5972
66092,118168,4,0.4244
130443,599475,3,0.7299
441891,740536,1,2.0075
380983,112932,1,0.4432
611705,356517,1,1.427
806125,389814,1,1.5293
351662,758305,1,1.3853
729066,502432,2,1.9774
255293,343846,1,1.0082
137329,883463,1,0.5404
948790,978716,2,3.8338
929001,406314,3,1.7204
117417,904012,1,0.4869
143502,635721,3,0.5633
518215,957388,1,2.0412
26607,28806,3,0.1048
352729,646404,1,1.3887
850315,285314,1,1.1556
886172,854938,14,3.3666
693469,123664,1,0.4853
895687,363243,1,1.43
49826,148708,14,0.1956
264362,142440,2,0.5592
209027,62264,1,0.2445
568881,889996,1,2.6975
980411,849765,1,3.3539
908905,282438,17,1.1136
980402,348867,1,1.3687
534224,329068,4,1.2962
920810,273376,2,1.0736
817370,481128,2,1.8942
308119,689339,7,1.2135
390829,364953,1,1.437
546681,504469,1,3.2947
412882,460659,1,2.3099
335604,838959,3,1.6913
410312,798983,17,2.1791
367196,7770,2,0.0417
862811,462277,1,2.4519
655905,306504,3,1.7165
17999,120048,41,0.1215
297252,460486,2,1.7712
476488,489603,1,2.905
478209,590166,3,2.4023
853673,512253,1,2.0199
978019,366711,1,1.4432
724310,391871,1,1.5419
966563,885795,1,3.4815
885684,739751,1,3.4817
246722,843912,2,0.9826
245256,708538,2,1.0829
766382,419328,2,1.8947
895674,24185,1,0.0956
617206,7980,2,0.0316
202912,849869,1,0.8014
416463,645378,3,1.6445
752968,442866,2,1.7479
518684,178959,1,0.7564
837486,734357,13,2.9538
213632,841474,2,0.8456
836166,738777,3,3.8826
714554,82958,2,0.4495
509931,443442,3,2.2676
562353,609796,11,2.3895
345704,721775,1,1.364
174154,856341,1,0.6837
483638,135935,1,0.5542
731235,297608,1,1.1949
427365,560483,1,1.7114
514811,778920,1,2.7617
259762,521648,2,1.0193
295488,862378,2,1.1729
492455,312941,1,1.2325
796218,603483,3,2.4593
449972,210497,1,0.8268
927119,948789,1,3.6519
866742,272549,1,1.0751
999566,190983,1,0.7635
487823,292028,1,1.1526
805023,919333,23,3.3074
212292,952986,6,0.8392
531121,698431,1,2.0893
19872,573324,12,0.0794
183315,256455,15,0.7198
663824,870995,1,2.6233
142444,173620,4,0.5696
488014,577145,1,1.9266
906831,24115,1,0.0955
792720,445523,1,1.7562
907079,65679,1,0.2579
956626,356004,22,1.8725
571080,872355,15,2.9265
923820,869049,3,3.4435
880771,97690,1,0.3836
360497,536593,1,1.428
254859,289426,1,1.2032
613113,161660,1,0.6614
157491,446875,1,0.685
600182,741771,1,2.4768
924361,310479,1,2.5488
569988,247334,2,1.5004
819545,905211,1,3.2389
267671,215732,1,1.1463
392891,493858,1,2.2459
382203,683654,1,2.0011
50734,81023,1,0.1995
